record.timestamp[s],record.distance[m],record.accumulated_power[watts],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.resistance,record.temperature[C],record.left_right_balance,record.left_torque_effectiveness[percent],record.right_torque_effectiveness[percent],record.left_pedal_smoothness[percent],record.right_pedal_smoothness[percent],record.fractional_cadence[rpm],record.left_pco[mm],record.right_pco[mm],record.left_power_phase[degrees],record.left_power_phase_peak[degrees],record.right_power_phase[degrees],record.right_power_phase_peak[degrees],record.enhanced_speed[m/s],record.enhanced_respiration_rate[Breaths/min],
"1070727500","8.25","155","8.258","155","104","81","0","19","184","77.5","84.5","24.0","26.0","0.0","0","0","350.1562554711915|203.9062531860352","77.34375120849612|135.00000210937503","341.71875533935554|215.15625336181645","61.87500096679689|125.15625195556643","8.258",,
"1070727501","16.47","294","8.211","139","105","81","0","19","185","71.0","79.5","20.5","24.0","0.0","0","0","352.9687555151368|202.50000316406255","77.34375120849612|136.40625213134769","343.1250053613282|212.34375331787115","63.28125098876955|123.75000193359378","8.211",,
"1070727502","24.62","294","8.155","150","105","81","0","19","185","71.0","76.5","22.0","23.0","0.0","0","0","352.9687555151368|201.0937531420899","77.34375120849612|136.40625213134769","345.9375054052735|208.1250032519532","61.87500096679689|123.75000193359378","8.155",,
"1070727503","32.79","594","8.146","150","106","80","0","19","181","71.0","76.5","22.0","23.0","0.0","0","0","350.1562554711915|206.7187532299805","75.93750118652346|136.40625213134769","345.9375054052735|208.1250032519532","61.87500096679689|123.75000193359378","8.146",,
"1070727504","40.91","744","8.136","150","106","80","0","19","181","78.5","79.5","24.5","25.5","0.0","0","0","348.75000544921886|208.1250032519532","75.93750118652346|137.81250215332034","343.1250053613282|215.15625336181645","60.46875094482424|123.75000193359378","8.136",,
"1070727505","49.05","900","8.155","156","106","80","0","19","183","82.5","82.5","27.0","26.5","0.0","0","0","348.75000544921886|209.53125327392584","75.93750118652346|139.218752175293","343.1250053613282|215.15625336181645","60.46875094482424|123.75000193359378","8.155","23.62",
"1070727506","57.23","1057","8.174","157","106","80","0","19","182","82.5","82.5","27.0","26.5","0.0","0","0","348.75000544921886|209.53125327392584","75.93750118652346|139.218752175293","340.3125053173829|217.96875340576176","59.06250092285158|122.34375191162113","8.174","23.62",
"1070727507","65.41","1217","8.174","160","106","81","0","19","182","82.5","82.5","27.0","26.5","0.0","0","0","348.75000544921886|209.53125327392584","77.34375120849612|139.218752175293","338.90625529541023|220.7812534497071","59.06250092285158|120.93750188964847","8.174","23.62",
"1070727508","73.64","1374","8.239","157","107","81","0","19","180","255","255","255","255","0.0","0","0","348.75000544921886|209.53125327392584","77.34375120849612|139.218752175293","338.90625529541023|222.18750347167975","59.06250092285158|122.34375191162113","8.239","23.62",
"1070727509","81.94","1554","8.304","180","107","82","0","19","181","88.5","90.0","27.5","29.0","0.0","0","0","343.1250053613282|220.7812534497071","77.34375120849612|139.218752175293","338.90625529541023|225.00000351562505","59.06250092285158|123.75000193359378","8.304","23.62",
"1070727510","90.29","1716","8.351","162","108","82","0","19","181","79.5","90.0","23.0","29.0","0.0","0","0","341.71875533935554|217.96875340576176","75.93750118652346|137.81250215332034","336.0937552514649|222.18750347167975","60.46875094482424|123.75000193359378","8.351","25.39",
"1070727511","98.62","1878","8.323","162","108","82","0","19","179","77.0","86.0","24.0","25.5","0.0","0","0","344.53125538330085|206.7187532299805","73.12500114257814|133.59375208740238","337.5000052734376|217.96875340576176","63.28125098876955|123.75000193359378","8.323","25.39",
"1070727512","106.94","2037","8.323","159","107","82","0","19","179","77.5","80.0","24.0","24.0","0.0","0","0","347.3437554272462|205.31250320800785","71.71875112060549|133.59375208740238","337.5000052734376|217.96875340576176","63.28125098876955|123.75000193359378","8.323","25.39",
"1070727513","115.24","2194","8.304","157","107","82","0","19","181","76.5","78.5","22.0","23.0","0.0","0","0","347.3437554272462|205.31250320800785","71.71875112060549|133.59375208740238","340.3125053173829|213.7500033398438","64.68750101074221|126.5625019775391","8.304","25.39",
"1070727514","123.54","2346","8.295","152","107","82","0","19","181","75.5","78.0","23.0","23.5","0.0","0","0","348.75000544921886|201.0937531420899","71.71875112060549|132.18750206542973","341.71875533935554|209.53125327392584","64.68750101074221|127.96875199951175","8.295","25.39",
"1070727515","131.77","2488","8.23","142","107","83","0","19","180","75.5","78.0","23.0","23.5","0.0","0","0","350.1562554711915|199.68750312011724","71.71875112060549|130.78125204345707","343.1250053613282|209.53125327392584","61.87500096679689|126.5625019775391","8.23","24.01",
"1070727516","139.87","2488","8.099","145","107","83","0","19","182","61.5","82.0","19.0","25.0","0.0","0","0","350.1562554711915|199.68750312011724","71.71875112060549|130.78125204345707","343.1250053613282|209.53125327392584","61.87500096679689|126.5625019775391","8.099","24.01",
"1070727517","147.9","2778","8.034","145","107","88","0","19","180","61.5","82.0","19.0","25.0","0.0","0","0","350.1562554711915|199.68750312011724","71.71875112060549|130.78125204345707","345.9375054052735|203.9062531860352","61.87500096679689|122.34375191162113","8.034","24.01",
"1070727518","155.95","2911","8.034","133","108","89","0","19","181","68.5","75.5","21.5","23.0","0.0","0","0","343.1250053613282|201.0937531420899","74.5312511645508|133.59375208740238","345.9375054052735|203.9062531860352","61.87500096679689|122.34375191162113","8.034","24.01",
"1070727519","164.01","3055","8.071","144","108","89","0","19","180","68.5","75.5","21.5","23.0","0.0","0","0","344.53125538330085|201.0937531420899","77.34375120849612|137.81250215332034","345.9375054052735|203.9062531860352","61.87500096679689|122.34375191162113","8.071","24.01",
