Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,Field 35,Value 35,Units 35,Field 36,Value 36,Units 36,Field 37,Value 37,Units 37,Field 38,Value 38,Units 38,Field 39,Value 39,Units 39,Field 40,Value 40,Units 40,Field 41,Value 41,Units 41,Field 42,Value 42,Units 42,Field 43,Value 43,Units 43,
Data,10,lap,timestamp,"1070882234",s,start_time,"1070881939",,start_position_lat,"554902588",semicircles,start_position_long,"75227728",semicircles,end_position_lat,"554850468",semicircles,end_position_long,"75148863",semicircles,total_elapsed_time,"295.452",s,total_timer_time,"295.452",s,total_distance,"1000.0",m,total_strides,"438",cycles,enhanced_avg_speed,"3.385",m/s,enhanced_max_speed,"3.987",m/s,enhanced_min_altitude,"724.4000000000001",m,enhanced_max_altitude,"752.2",m,message_index,"0",,total_calories,"58",kcal,total_ascent,"0",m,total_descent,"27",m,wkt_step_index,"0",,avg_vertical_oscillation,"105.3",mm,avg_stance_time_percent,"32.82",percent,avg_stance_time,"219.1",ms,avg_stance_time_balance,"46.95",percent,enhanced_avg_respiration_rate,"28.13",Breaths/min,enhanced_max_respiration_rate,"32.56",Breaths/min,event,"9",,event_type,"1",,avg_heart_rate,"120",bpm,max_heart_rate,"130",bpm,avg_running_cadence,"90",rpm,max_running_cadence,"100",rpm,lap_trigger,"2",,sport,"1",,sub_sport,"0",,avg_temperature,"24",C,max_temperature,"27",C,avg_fractional_cadence,"0.078125",rpm,max_fractional_cadence,"0.5",rpm,min_temperature,"22",C,total_fractional_ascent,"0.0",m,total_fractional_descent,"0.59",m,
Data,10,lap,timestamp,"1070882543",s,start_time,"1070882235",,start_position_lat,"554850300",semicircles,start_position_long,"75148434",semicircles,end_position_lat,"554803453",semicircles,end_position_long,"75124554",semicircles,total_elapsed_time,"308.836",s,total_timer_time,"308.836",s,total_distance,"1000.0",m,total_strides,"455",cycles,enhanced_avg_speed,"3.238",m/s,enhanced_max_speed,"3.359",m/s,enhanced_min_altitude,"725.0",m,enhanced_max_altitude,"743.5999999999999",m,message_index,"1",,total_calories,"69",kcal,total_ascent,"20",m,total_descent,"1",m,wkt_step_index,"0",,avg_vertical_oscillation,"96.8",mm,avg_stance_time_percent,"33.17",percent,avg_stance_time,"224.4",ms,avg_stance_time_balance,"48.46",percent,enhanced_avg_respiration_rate,"30.7",Breaths/min,enhanced_max_respiration_rate,"33.34",Breaths/min,event,"9",,event_type,"1",,avg_heart_rate,"134",bpm,max_heart_rate,"147",bpm,avg_running_cadence,"88",rpm,max_running_cadence,"90",rpm,lap_trigger,"2",,sport,"1",,sub_sport,"0",,avg_temperature,"20",C,max_temperature,"22",C,avg_fractional_cadence,"0.8125",rpm,max_fractional_cadence,"0.0",rpm,min_temperature,"19",C,total_fractional_ascent,"0.5",m,total_fractional_descent,"0.11",m,
Data,10,lap,timestamp,"1070882907",s,start_time,"1070882544",,start_position_lat,"554803094",semicircles,start_position_long,"75124951",semicircles,end_position_lat,"554721295",semicircles,end_position_long,"75207044",semicircles,total_elapsed_time,"364.208",s,total_timer_time,"304.408",s,total_distance,"1000.0",m,total_strides,"443",cycles,enhanced_avg_speed,"3.285",m/s,enhanced_max_speed,"3.681",m/s,enhanced_min_altitude,"743.5999999999999",m,enhanced_max_altitude,"760.4000000000001",m,message_index,"2",,total_calories,"65",kcal,total_ascent,"17",m,total_descent,"12",m,wkt_step_index,"0",,avg_vertical_oscillation,"98.4",mm,avg_stance_time_percent,"34.07",percent,avg_stance_time,"230.9",ms,avg_stance_time_balance,"48.0",percent,enhanced_avg_respiration_rate,"30.25",Breaths/min,enhanced_max_respiration_rate,"34.76",Breaths/min,event,"9",,event_type,"1",,avg_heart_rate,"135",bpm,max_heart_rate,"150",bpm,avg_running_cadence,"88",rpm,max_running_cadence,"121",rpm,lap_trigger,"2",,sport,"1",,sub_sport,"0",,avg_temperature,"18",C,max_temperature,"19",C,avg_fractional_cadence,"0.8828125",rpm,max_fractional_cadence,"0.0",rpm,min_temperature,"17",C,total_fractional_ascent,"0.4",m,total_fractional_descent,"0.78",m,
Data,10,lap,timestamp,"1070883206",s,start_time,"1070882908",,start_position_lat,"554721062",semicircles,start_position_long,"75207397",semicircles,end_position_lat,"554685975",semicircles,end_position_long,"75324830",semicircles,total_elapsed_time,"298.885",s,total_timer_time,"298.885",s,total_distance,"1000.0",m,total_strides,"437",cycles,enhanced_avg_speed,"3.346",m/s,enhanced_max_speed,"3.576",m/s,enhanced_min_altitude,"729.5999999999999",m,enhanced_max_altitude,"750.8",m,message_index,"3",,total_calories,"62",kcal,total_ascent,"11",m,total_descent,"27",m,wkt_step_index,"0",,avg_vertical_oscillation,"101.5",mm,avg_stance_time_percent,"34.39",percent,avg_stance_time,"233.5",ms,avg_stance_time_balance,"48.23",percent,enhanced_avg_respiration_rate,"30.99",Breaths/min,enhanced_max_respiration_rate,"37.02",Breaths/min,event,"9",,event_type,"1",,avg_heart_rate,"131",bpm,max_heart_rate,"149",bpm,avg_running_cadence,"88",rpm,max_running_cadence,"91",rpm,lap_trigger,"2",,sport,"1",,sub_sport,"0",,avg_temperature,"17",C,max_temperature,"17",C,avg_fractional_cadence,"0.390625",rpm,max_fractional_cadence,"0.0",rpm,min_temperature,"16",C,total_fractional_ascent,"0.18",m,total_fractional_descent,"0.31",m,
Data,10,lap,timestamp,"1070883565",s,start_time,"1070883207",,start_position_lat,"554686273",semicircles,start_position_long,"75325157",semicircles,end_position_lat,"554770526",semicircles,end_position_long,"75371229",semicircles,total_elapsed_time,"359.063",s,total_timer_time,"301.869",s,total_distance,"1000.0",m,total_strides,"436",cycles,enhanced_avg_speed,"3.313",m/s,enhanced_max_speed,"3.62",m/s,enhanced_min_altitude,"710.4000000000001",m,enhanced_max_altitude,"730.4000000000001",m,message_index,"4",,total_calories,"56",kcal,total_ascent,"5",m,total_descent,"21",m,wkt_step_index,"0",,avg_vertical_oscillation,"101.0",mm,avg_stance_time_percent,"34.1",percent,avg_stance_time,"232.4",ms,avg_vertical_ratio,"7.01",percent,avg_stance_time_balance,"48.96",percent,avg_step_length,"1214.1",mm,enhanced_avg_respiration_rate,"28.69",Breaths/min,enhanced_max_respiration_rate,"38.44",Breaths/min,event,"9",,event_type,"1",,avg_heart_rate,"125",bpm,max_heart_rate,"142",bpm,avg_running_cadence,"87",rpm,max_running_cadence,"92",rpm,lap_trigger,"2",,sport,"1",,sub_sport,"0",,avg_temperature,"16",C,max_temperature,"16",C,avg_fractional_cadence,"0.1484375",rpm,max_fractional_cadence,"0.5",rpm,min_temperature,"15",C,total_fractional_ascent,"0.09",m,total_fractional_descent,"0.48",m,
Data,10,lap,timestamp,"1070883866",s,start_time,"1070883566",,start_position_lat,"554770775",semicircles,start_position_long,"75371580",semicircles,end_position_lat,"554833228",semicircles,end_position_long,"75309052",semicircles,total_elapsed_time,"301.301",s,total_timer_time,"301.301",s,total_distance,"1000.0",m,total_strides,"438",cycles,enhanced_avg_speed,"3.319",m/s,enhanced_max_speed,"3.463",m/s,enhanced_min_altitude,"701.5999999999999",m,enhanced_max_altitude,"713.0",m,message_index,"5",,total_calories,"64",kcal,total_ascent,"1",m,total_descent,"11",m,wkt_step_index,"0",,avg_vertical_oscillation,"101.8",mm,avg_stance_time_percent,"33.52",percent,avg_stance_time,"228.5",ms,avg_vertical_ratio,"1.56",percent,avg_stance_time_balance,"50.68",percent,avg_step_length,"1241.0",mm,enhanced_avg_respiration_rate,"39.39",Breaths/min,enhanced_max_respiration_rate,"44.91",Breaths/min,event,"9",,event_type,"1",,avg_heart_rate,"132",bpm,max_heart_rate,"141",bpm,avg_running_cadence,"87",rpm,max_running_cadence,"89",rpm,lap_trigger,"2",,sport,"1",,sub_sport,"0",,avg_temperature,"15",C,max_temperature,"15",C,avg_fractional_cadence,"0.9609375",rpm,max_fractional_cadence,"0.5",rpm,min_temperature,"14",C,total_fractional_ascent,"0.08",m,total_fractional_descent,"0.18",m,
Data,10,lap,timestamp,"1070884174",s,start_time,"1070883867",,start_position_lat,"554833384",semicircles,start_position_long,"75308551",semicircles,end_position_lat,"554883357",semicircles,end_position_long,"75396458",semicircles,total_elapsed_time,"307.758",s,total_timer_time,"307.758",s,total_distance,"1000.0",m,total_strides,"442",cycles,enhanced_avg_speed,"3.249",m/s,enhanced_max_speed,"3.353",m/s,enhanced_min_altitude,"696.0",m,enhanced_max_altitude,"716.0",m,message_index,"6",,total_calories,"64",kcal,total_ascent,"12",m,total_descent,"18",m,wkt_step_index,"0",,avg_vertical_oscillation,"113.3",mm,avg_stance_time_percent,"33.94",percent,avg_stance_time,"233.2",ms,avg_vertical_ratio,"1.56",percent,avg_stance_time_balance,"49.36",percent,avg_step_length,"1241.0",mm,enhanced_avg_respiration_rate,"33.09",Breaths/min,enhanced_max_respiration_rate,"39.76",Breaths/min,event,"9",,event_type,"1",,avg_heart_rate,"135",bpm,max_heart_rate,"147",bpm,avg_running_cadence,"87",rpm,max_running_cadence,"89",rpm,lap_trigger,"2",,sport,"1",,sub_sport,"0",,avg_temperature,"14",C,max_temperature,"14",C,avg_fractional_cadence,"0.46875",rpm,max_fractional_cadence,"0.0",rpm,min_temperature,"13",C,total_fractional_ascent,"0.28",m,total_fractional_descent,"0.06",m,
Data,10,lap,timestamp,"1070884485",s,start_time,"1070884175",,start_position_lat,"554883527",semicircles,start_position_long,"75396916",semicircles,end_position_lat,"554938651",semicircles,end_position_long,"75524794",semicircles,total_elapsed_time,"310.753",s,total_timer_time,"310.753",s,total_distance,"1000.0",m,total_strides,"449",cycles,enhanced_avg_speed,"3.218",m/s,enhanced_max_speed,"3.335",m/s,enhanced_min_altitude,"688.4000000000001",m,enhanced_max_altitude,"696.0",m,message_index,"7",,total_calories,"66",kcal,total_ascent,"1",m,total_descent,"8",m,wkt_step_index,"0",,avg_vertical_oscillation,"118.7",mm,avg_stance_time_percent,"33.65",percent,avg_stance_time,"230.4",ms,avg_vertical_ratio,"1.56",percent,avg_stance_time_balance,"50.26",percent,avg_step_length,"1241.0",mm,enhanced_avg_respiration_rate,"40.97",Breaths/min,enhanced_max_respiration_rate,"45.13",Breaths/min,event,"9",,event_type,"1",,avg_heart_rate,"133",bpm,max_heart_rate,"139",bpm,avg_running_cadence,"87",rpm,max_running_cadence,"91",rpm,lap_trigger,"2",,sport,"1",,sub_sport,"0",,avg_temperature,"13",C,max_temperature,"13",C,avg_fractional_cadence,"0.734375",rpm,max_fractional_cadence,"0.0",rpm,min_temperature,"12",C,total_fractional_ascent,"0.08",m,total_fractional_descent,"0.45",m,
Data,10,lap,timestamp,"1070884829",s,start_time,"1070884486",,start_position_lat,"554938931",semicircles,start_position_long,"75524660",semicircles,end_position_lat,"554991783",semicircles,end_position_long,"75444979",semicircles,total_elapsed_time,"344.31",s,total_timer_time,"326.034",s,total_distance,"1000.0",m,total_strides,"464",cycles,enhanced_avg_speed,"3.067",m/s,enhanced_max_speed,"3.303",m/s,enhanced_min_altitude,"690.2",m,enhanced_max_altitude,"707.8",m,message_index,"8",,total_calories,"69",kcal,total_ascent,"18",m,total_descent,"2",m,wkt_step_index,"0",,avg_vertical_oscillation,"107.4",mm,avg_stance_time_percent,"34.33",percent,avg_stance_time,"236.1",ms,avg_vertical_ratio,"1.56",percent,avg_stance_time_balance,"49.62",percent,avg_step_length,"1241.0",mm,enhanced_avg_respiration_rate,"36.73",Breaths/min,enhanced_max_respiration_rate,"42.99",Breaths/min,event,"9",,event_type,"1",,avg_heart_rate,"138",bpm,max_heart_rate,"155",bpm,avg_running_cadence,"86",rpm,max_running_cadence,"89",rpm,lap_trigger,"2",,sport,"1",,sub_sport,"0",,avg_temperature,"12",C,max_temperature,"12",C,avg_fractional_cadence,"0.984375",rpm,max_fractional_cadence,"0.5",rpm,min_temperature,"11",C,total_fractional_ascent,"0.32",m,total_fractional_descent,"0.15",m,
Data,10,lap,timestamp,"1070885198",s,start_time,"1070884830",,start_position_lat,"554991744",semicircles,start_position_long,"75444556",semicircles,end_position_lat,"554940097",semicircles,end_position_long,"75316631",semicircles,total_elapsed_time,"368.895",s,total_timer_time,"325.954",s,total_distance,"1000.0",m,total_strides,"472",cycles,enhanced_avg_speed,"3.068",m/s,enhanced_max_speed,"3.294",m/s,enhanced_min_altitude,"708.2",m,enhanced_max_altitude,"738.4000000000001",m,message_index,"9",,total_calories,"70",kcal,total_ascent,"30",m,total_descent,"1",m,wkt_step_index,"0",,avg_vertical_oscillation,"95.9",mm,avg_stance_time_percent,"35.53",percent,avg_stance_time,"242.8",ms,avg_vertical_ratio,"1.56",percent,avg_stance_time_balance,"49.48",percent,avg_step_length,"1241.0",mm,enhanced_avg_respiration_rate,"33.28",Breaths/min,enhanced_max_respiration_rate,"38.04",Breaths/min,event,"9",,event_type,"1",,avg_heart_rate,"142",bpm,max_heart_rate,"155",bpm,avg_running_cadence,"87",rpm,max_running_cadence,"91",rpm,lap_trigger,"2",,sport,"1",,sub_sport,"0",,avg_temperature,"11",C,max_temperature,"11",C,avg_fractional_cadence,"0.734375",rpm,max_fractional_cadence,"0.0",rpm,min_temperature,"11",C,total_fractional_ascent,"0.01",m,total_fractional_descent,"0.03",m,
